position,playerId,playerName,minutesPlayed,expected_danger_per_90,danger_passes_per_90,total_danger,total_danger_passes,total_passes
AMF,14911,Son Heung-Min,90.0,0.0931768052103117,2.0,0.0931768052103117,2,9
CF,14911,Son Heung-Min,606.0,0.21309253401466643,1.7821782178217822,1.4348230623654206,12,92
LAMF,14911,Son Heung-Min,618.0,0.45812817314148924,3.203883495145631,3.1458134555715596,22,227
LCMF,14911,Son Heung-Min,129.0,0.07693722228072503,0.6976744186046512,0.1102766852690392,1,11
LW,14911,Son Heung-Min,209.0,0.26607949018249183,3.014354066985646,0.6178957049793421,7,66
LWF,14911,Son Heung-Min,1392.0,0.4989665517733062,4.461206896551724,7.717349334093802,69,507
SS,14911,Son Heung-Min,90.0,0.0417030402497771,0.0,0.0417030402497771,0,3
GK,15146,S. Ortega,1106.0,0.3836445611843744,0.162748643761302,4.714565385221312,2,419
CB,15806,J. Vestergaard,90.0,0.3184575553224165,0.0,0.3184575553224165,0,32
LCB,15806,J. Vestergaard,1068.0,0.6351778226190051,0.6741573033707865,7.537443495078861,8,735
LCB3,15806,J. Vestergaard,58.0,0.4441009022025697,0.0,0.2861983591972116,0,36
RCB,15806,J. Vestergaard,180.0,0.4305548426482426,0.5,0.8611096852964852,1,82
GK,20922,Neto,180.0,0.2438178375018358,0.0,0.4876356750036716,0,53
DMF,21315,Jorginho,532.0,0.5813550804825812,2.199248120300752,3.43645447574148,13,354
LCMF,21315,Jorginho,129.0,0.2922464129198616,1.3953488372093024,0.418886525185135,2,39
RCMF,21315,Jorginho,188.0,0.28729643238307884,1.4361702127659572,0.6001303254224313,3,65
RCMF3,21315,Jorginho,11.0,1.041244975938919,0.0,0.127263274836979,0,12
GK,25418,A. Aréola,2267.0,0.376005134992061,0.15880017644464048,9.471151566966691,4,897
RCB,25486,W. Boly,90.0,0.5399179273108047,0.0,0.5399179273108047,0,48
RCB3,25486,W. Boly,80.0,0.18217913486308357,1.125,0.1619370087671854,1,16
RDMF,25486,W. Boly,4.0,0.19703064344999177,0.0,0.0087569174866663,0,1
AMF,25571,J. Ayew,488.0,0.31762072425730437,1.8442622950819672,1.7222101493062727,10,129
CF,25571,J. Ayew,317.0,0.1193580619377682,0.5678233438485805,0.4204056181585835,2,43
