player_id,player_name,team_id,position,position_provider,minutes_played_position,match_ids
599817,João Pedro Junqueira de Jesus,1651,Striker,CF,1282.0,"[np.int64(5588092), np.int64(5588181), np.int64(5588192), np.int64(5588201), np.int64(5588214), np.int64(5588226), np.int64(5588232), np.int64(5588252), np.int64(5588260), np.int64(5588272), np.int64(5588283), np.int64(5588321), np.int64(5588339), np.int64(5588341), np.int64(5588351), np.int64(5588367), np.int64(5588372)]"
599817,João Pedro Junqueira de Jesus,1651,Striker,SS,90.0,[np.int64(5588296)]
599817,João Pedro Junqueira de Jesus,1651,Winger,LAMF,61.0,[np.int64(5588401)]
598178,João Victor Gomes da Silva,1629,Midfielder,LCMF,1646.0,"[np.int64(5588119), np.int64(5588139), np.int64(5588142), np.int64(5588163), np.int64(5588179), np.int64(5588189), np.int64(5588194), np.int64(5588209), np.int64(5588213), np.int64(5588246), np.int64(5588259), np.int64(5588268), np.int64(5588279), np.int64(5588288), np.int64(5588292), np.int64(5588309), np.int64(5588325), np.int64(5588332), np.int64(5588445), np.int64(5588459)]"
598178,João Victor Gomes da Silva,1629,Midfielder,RCMF,914.0,"[np.int64(5588108), np.int64(5588120), np.int64(5588359), np.int64(5588369), np.int64(5588374), np.int64(5588385), np.int64(5588399), np.int64(5588407), np.int64(5588419), np.int64(5588428), np.int64(5588439)]"
598178,João Victor Gomes da Silva,1629,Midfielder,RCMF3,88.0,[np.int64(5588159)]
598178,João Victor Gomes da Silva,1629,Midfielder,RDMF,174.0,"[np.int64(5588082), np.int64(5588099)]"
598178,João Victor Gomes da Silva,1629,Winger,RWF,168.0,"[np.int64(5588229), np.int64(5588345)]"
596942,Keane Lewis-Potter,1669,Full Back,LB,2333.0,"[np.int64(5588180), np.int64(5588193), np.int64(5588200), np.int64(5588211), np.int64(5588221), np.int64(5588241), np.int64(5588252), np.int64(5588261), np.int64(5588277), np.int64(5588281), np.int64(5588291), np.int64(5588303), np.int64(5588312), np.int64(5588329), np.int64(5588336), np.int64(5588340), np.int64(5588350), np.int64(5588362), np.int64(5588377), np.int64(5588381), np.int64(5588390), np.int64(5588401), np.int64(5588417), np.int64(5588422), np.int64(5588432), np.int64(5588442), np.int64(5588459)]"
596942,Keane Lewis-Potter,1669,Full Back,LB5,180.0,"[np.int64(5588116), np.int64(5588128)]"
596942,Keane Lewis-Potter,1669,Full Back,LWB,86.0,[np.int64(5588233)]
596942,Keane Lewis-Potter,1669,Winger,LAMF,310.0,"[np.int64(5588142), np.int64(5588154), np.int64(5588162), np.int64(5588171)]"
596942,Keane Lewis-Potter,1669,Winger,LW,177.0,"[np.int64(5588095), np.int64(5588101), np.int64(5588132)]"
596942,Keane Lewis-Potter,1669,Winger,LWF,20.0,[np.int64(5588087)]
596845,Carl Rushworth,1651,,Unknown,0.0,[]
596046,Aaron Hickey,1669,,Unknown,0.0,[]
595249,Andrè Trindade da Costa Neto,1629,Midfielder,DMF,282.0,"[np.int64(5588120), np.int64(5588139), np.int64(5588142), np.int64(5588159)]"
595249,Andrè Trindade da Costa Neto,1629,Midfielder,LCMF,774.0,"[np.int64(5588163), np.int64(5588359), np.int64(5588369), np.int64(5588374), np.int64(5588385), np.int64(5588399), np.int64(5588407), np.int64(5588419), np.int64(5588428), np.int64(5588439)]"
595249,Andrè Trindade da Costa Neto,1629,Midfielder,RCMF,1336.0,"[np.int64(5588119), np.int64(5588194), np.int64(5588209), np.int64(5588229), np.int64(5588239), np.int64(5588246), np.int64(5588259), np.int64(5588268), np.int64(5588288), np.int64(5588292), np.int64(5588309), np.int64(5588319), np.int64(5588325), np.int64(5588332), np.int64(5588345), np.int64(5588445), np.int64(5588459)]"
595249,Andrè Trindade da Costa Neto,1629,Midfielder,RDMF,90.0,[np.int64(5588213)]
595249,Andrè Trindade da Costa Neto,1629,Striker,CF,14.0,[np.int64(5588108)]
595115,Nathan Butler-Oyedeji,22966,Striker,CF,10.0,[np.int64(5588405)]
594968,Rodrigo Martins Gomes,1629,,,1.0,[np.int64(5588163)]
594968,Rodrigo Martins Gomes,1629,Central Defender,LCB3,22.0,[np.int64(5588268)]
594968,Rodrigo Martins Gomes,1629,Full Back,LB5,53.0,"[np.int64(5588229), np.int64(5588259), np.int64(5588319)]"
594968,Rodrigo Martins Gomes,1629,Full Back,LWB,326.0,"[np.int64(5588194), np.int64(5588246), np.int64(5588279), np.int64(5588309), np.int64(5588399), np.int64(5588459)]"
594968,Rodrigo Martins Gomes,1629,Full Back,RB,20.0,[np.int64(5588213)]
594968,Rodrigo Martins Gomes,1629,Full Back,RB5,55.0,"[np.int64(5588407), np.int64(5588428)]"
594968,Rodrigo Martins Gomes,1629,Full Back,RWB,256.0,"[np.int64(5588288), np.int64(5588292), np.int64(5588385), np.int64(5588419), np.int64(5588439), np.int64(5588445)]"
594968,Rodrigo Martins Gomes,1629,Winger,LAMF,105.0,"[np.int64(5588082), np.int64(5588099)]"
594968,Rodrigo Martins Gomes,1629,Winger,LW,46.0,[np.int64(5588209)]
594968,Rodrigo Martins Gomes,1629,Winger,LWF,9.0,[np.int64(5588189)]
594968,Rodrigo Martins Gomes,1629,Winger,RW,31.0,[np.int64(5588120)]
594120,Jake O'Brien,1623,Central Defender,RCB,372.0,"[np.int64(5588205), np.int64(5588413), np.int64(5588426), np.int64(5588446), np.int64(5588455)]"
594120,Jake O'Brien,1623,Full Back,RB,1212.0,"[np.int64(5588110), np.int64(5588223), np.int64(5588282), np.int64(5588293), np.int64(5588302), np.int64(5588314), np.int64(5588322), np.int64(5588333), np.int64(5588340), np.int64(5588359), np.int64(5588363), np.int64(5588379), np.int64(5588383), np.int64(5588397), np.int64(5588403)]"
592655,Leif Davis,1634,Full Back,LB,2316.0,"[np.int64(5588081), np.int64(5588104), np.int64(5588112), np.int64(5588127), np.int64(5588135), np.int64(5588149), np.int64(5588152), np.int64(5588162), np.int64(5588172), np.int64(5588187), np.int64(5588195), np.int64(5588206), np.int64(5588215), np.int64(5588225), np.int64(5588239), np.int64(5588245), np.int64(5588265), np.int64(5588283), np.int64(5588305), np.int64(5588315), np.int64(5588335), np.int64(5588353), np.int64(5588365), np.int64(5588385), np.int64(5588393), np.int64(5588405), np.int64(5588447), np.int64(5588452)]"
592655,Leif Davis,1634,Full Back,LB5,360.0,"[np.int64(5588096), np.int64(5588250), np.int64(5588274), np.int64(5588294)]"
592655,Leif Davis,1634,Full Back,LWB,80.0,[np.int64(5588349)]
590874,Toti António Gomes,1629,Central Defender,CB,90.0,[np.int64(5588194)]
590874,Toti António Gomes,1629,Central Defender,LCB,444.0,"[np.int64(5588082), np.int64(5588099), np.int64(5588139), np.int64(5588142), np.int64(5588209), np.int64(5588213)]"
590874,Toti António Gomes,1629,Central Defender,LCB3,1996.0,"[np.int64(5588159), np.int64(5588163), np.int64(5588179), np.int64(5588189), np.int64(5588229), np.int64(5588239), np.int64(5588246), np.int64(5588259), np.int64(5588319), np.int64(5588325), np.int64(5588332), np.int64(5588345), np.int64(5588359), np.int64(5588369), np.int64(5588374), np.int64(5588385), np.int64(5588399), np.int64(5588407), np.int64(5588419), np.int64(5588428), np.int64(5588439), np.int64(5588445), np.int64(5588459)]"
590874,Toti António Gomes,1629,Full Back,LB,90.0,[np.int64(5588108)]
590781,Jan Paul van Hecke,1651,Central Defender,CB,90.0,[np.int64(5588321)]
590781,Jan Paul van Hecke,1651,Central Defender,RCB,2700.0,"[np.int64(5588083), np.int64(5588092), np.int64(5588100), np.int64(5588112), np.int64(5588121), np.int64(5588163), np.int64(5588173), np.int64(5588181), np.int64(5588192), np.int64(5588201), np.int64(5588226), np.int64(5588249), np.int64(5588252), np.int64(5588260), np.int64(5588272), np.int64(5588283), np.int64(5588296), np.int64(5588302), np.int64(5588318), np.int64(5588339), np.int64(5588341), np.int64(5588351), np.int64(5588367), np.int64(5588372), np.int64(5588382), np.int64(5588401), np.int64(5588423), np.int64(5588439), np.int64(5588443), np.int64(5588458)]"
590781,Jan Paul van Hecke,1651,Central Defender,RCB3,178.0,"[np.int64(5588155), np.int64(5588214), np.int64(5588232)]"
590703,Ilya Zabarnyi,1659,Central Defender,RCB,3116.0,"[np.int64(5588085), np.int64(5588091), np.int64(5588103), np.int64(5588111), np.int64(5588125), np.int64(5588131), np.int64(5588147), np.int64(5588150), np.int64(5588161), np.int64(5588170), np.int64(5588180), np.int64(5588192), np.int64(5588209), np.int64(5588212), np.int64(5588225), np.int64(5588231), np.int64(5588247), np.int64(5588251), np.int64(5588264), np.int64(5588271), np.int64(5588287), np.int64(5588297), np.int64(5588301), np.int64(5588311), np.int64(5588327), np.int64(5588332), np.int64(5588362), np.int64(5588371), np.int64(5588389), np.int64(5588391), np.int64(5588402), np.int64(5588411), np.int64(5588420), np.int64(5588430), np.int64(5588448), np.int64(5588450)]"
589174,Joe Gauci,1663,,Unknown,0.0,[]
589103,Matheus Luiz Nunes,1625,Full Back,LB,90.0,[np.int64(5588235)]
589103,Matheus Luiz Nunes,1625,Full Back,LWB,22.0,[np.int64(5588109)]
589103,Matheus Luiz Nunes,1625,Full Back,RB,1141.0,"[np.int64(5588281), np.int64(5588294), np.int64(5588306), np.int64(5588310), np.int64(5588343), np.int64(5588356), np.int64(5588376), np.int64(5588387), np.int64(5588403), np.int64(5588415), np.int64(5588428), np.int64(5588448), np.int64(5588451)]"
589103,Matheus Luiz Nunes,1625,Midfielder,AMF,6.0,[np.int64(5588096)]
589103,Matheus Luiz Nunes,1625,Midfielder,LCMF,6.0,[np.int64(5588148)]
589103,Matheus Luiz Nunes,1625,Midfielder,RCMF3,4.0,[np.int64(5588217)]
589103,Matheus Luiz Nunes,1625,Midfielder,RDMF,14.0,[np.int64(5588159)]
589103,Matheus Luiz Nunes,1625,Striker,CF,6.0,[np.int64(5588326)]
589103,Matheus Luiz Nunes,1625,Winger,LAMF,149.0,"[np.int64(5588116), np.int64(5588204), np.int64(5588222)]"
589103,Matheus Luiz Nunes,1625,Winger,LW,265.0,"[np.int64(5588168), np.int64(5588170), np.int64(5588181)]"
589075,Mats Wieffer,1651,Full Back,RB,554.0,"[np.int64(5588339), np.int64(5588372), np.int64(5588382), np.int64(5588401), np.int64(5588412), np.int64(5588423), np.int64(5588439), np.int64(5588443), np.int64(5588458)]"
589075,Mats Wieffer,1651,Midfielder,DMF,76.0,"[np.int64(5588133), np.int64(5588173)]"
589075,Mats Wieffer,1651,Midfielder,LCMF,153.0,"[np.int64(5588192), np.int64(5588201), np.int64(5588214), np.int64(5588232)]"
589075,Mats Wieffer,1651,Midfielder,LDMF,157.0,"[np.int64(5588083), np.int64(5588249), np.int64(5588341)]"
589075,Mats Wieffer,1651,Midfielder,RCMF,100.0,"[np.int64(5588155), np.int64(5588163), np.int64(5588226), np.int64(5588367)]"
589075,Mats Wieffer,1651,Midfielder,RDMF,67.0,"[np.int64(5588121), np.int64(5588143), np.int64(5588351)]"
586894,Iliman Cheikh Ndiaye,1623,Midfielder,AMF,90.0,[np.int64(5588426)]
586894,Iliman Cheikh Ndiaye,1623,Winger,LAMF,1673.0,"[np.int64(5588103), np.int64(5588110), np.int64(5588124), np.int64(5588134), np.int64(5588146), np.int64(5588152), np.int64(5588166), np.int64(5588177), np.int64(5588188), np.int64(5588205), np.int64(5588271), np.int64(5588282), np.int64(5588293), np.int64(5588302), np.int64(5588314), np.int64(5588379), np.int64(5588383), np.int64(5588397), np.int64(5588413), np.int64(5588431), np.int64(5588446), np.int64(5588455)]"
586894,Iliman Cheikh Ndiaye,1623,Winger,LW,354.0,"[np.int64(5588083), np.int64(5588098), np.int64(5588193), np.int64(5588223), np.int64(5588243), np.int64(5588403)]"
586894,Iliman Cheikh Ndiaye,1623,Winger,LWF,260.0,"[np.int64(5588230), np.int64(5588255), np.int64(5588263)]"
586894,Iliman Cheikh Ndiaye,1623,Winger,RW,90.0,[np.int64(5588213)]
586585,Malo Gusto,1610,Central Defender,RCB3,21.0,[np.int64(5588435)]
586585,Malo Gusto,1610,Full Back,LB,108.0,"[np.int64(5588243), np.int64(5588292)]"
586585,Malo Gusto,1610,Full Back,RB,1754.0,"[np.int64(5588088), np.int64(5588099), np.int64(5588102), np.int64(5588133), np.int64(5588144), np.int64(5588153), np.int64(5588164), np.int64(5588174), np.int64(5588182), np.int64(5588202), np.int64(5588219), np.int64(5588228), np.int64(5588233), np.int64(5588253), np.int64(5588265), np.int64(5588273), np.int64(5588306), np.int64(5588313), np.int64(5588321), np.int64(5588331), np.int64(5588347), np.int64(5588360), np.int64(5588375), np.int64(5588381), np.int64(5588393), np.int64(5588404)]"
586585,Malo Gusto,1610,Midfielder,LDMF,19.0,[np.int64(5588424)]
586585,Malo Gusto,1610,Winger,RAMF,7.0,[np.int64(5588444)]
586585,Malo Gusto,1610,Winger,RW,20.0,[np.int64(5588456)]
586491,Dermot Mee,22975,,Unknown,0.0,[]
586462,Andrew Omobamidele,3779,,Unknown,0.0,[]
586420,Cieran Slicker,1634,,Unknown,0.0,[]
584520,Nicolás González Iglesias,1625,Midfielder,DMF,138.0,"[np.int64(5588337), np.int64(5588356)]"
584520,Nicolás González Iglesias,1625,Midfielder,LDMF,258.0,"[np.int64(5588343), np.int64(5588395), np.int64(5588428), np.int64(5588451)]"
584520,Nicolás González Iglesias,1625,Midfielder,RCMF,27.0,[np.int64(5588448)]
584520,Nicolás González Iglesias,1625,Midfielder,RDMF,345.0,"[np.int64(5588326), np.int64(5588367), np.int64(5588376), np.int64(5588403)]"
583656,Amad Diallo Traoré,1611,Full Back,RWB,632.0,"[np.int64(5588195), np.int64(5588205), np.int64(5588210), np.int64(5588227), np.int64(5588289), np.int64(5588422), np.int64(5588434), np.int64(5588454)]"
583656,Amad Diallo Traoré,1611,Midfielder,AMF,439.0,"[np.int64(5588247), np.int64(5588259), np.int64(5588267), np.int64(5588275), np.int64(5588304)]"
583656,Amad Diallo Traoré,1611,Winger,RAMF,412.0,"[np.int64(5588080), np.int64(5588092), np.int64(5588106), np.int64(5588122), np.int64(5588169), np.int64(5588174), np.int64(5588185)]"
583656,Amad Diallo Traoré,1611,Winger,RW,191.0,"[np.int64(5588117), np.int64(5588136), np.int64(5588296)]"
583656,Amad Diallo Traoré,1611,Winger,RWF,270.0,"[np.int64(5588235), np.int64(5588316), np.int64(5588444)]"
583655,Memeh Caleb Okoli,1631,,,4.0,[np.int64(5588254)]
583655,Memeh Caleb Okoli,1631,Central Defender,LCB,926.0,"[np.int64(5588105), np.int64(5588113), np.int64(5588124), np.int64(5588130), np.int64(5588147), np.int64(5588157), np.int64(5588167), np.int64(5588196), np.int64(5588314), np.int64(5588324), np.int64(5588336)]"
583655,Memeh Caleb Okoli,1631,Central Defender,LCB3,68.0,"[np.int64(5588200), np.int64(5588376)]"
583655,Memeh Caleb Okoli,1631,Central Defender,RCB,151.0,"[np.int64(5588236), np.int64(5588266), np.int64(5588270), np.int64(5588392)]"
583655,Memeh Caleb Okoli,1631,Midfielder,AMF,5.0,[np.int64(5588436)]
582090,Boubacar Traoré,1629,Midfielder,RCMF,6.0,[np.int64(5588374)]
580990,Norberto Bercique Gomes Betuncal,1623,Midfielder,AMF,32.0,"[np.int64(5588263), np.int64(5588282)]"
580990,Norberto Bercique Gomes Betuncal,1623,Striker,CF,1531.0,"[np.int64(5588083), np.int64(5588098), np.int64(5588103), np.int64(5588166), np.int64(5588177), np.int64(5588188), np.int64(5588193), np.int64(5588205), np.int64(5588223), np.int64(5588243), np.int64(5588271), np.int64(5588302), np.int64(5588314), np.int64(5588322), np.int64(5588333), np.int64(5588340), np.int64(5588359), np.int64(5588363), np.int64(5588379), np.int64(5588383), np.int64(5588397), np.int64(5588413), np.int64(5588426), np.int64(5588431), np.int64(5588446), np.int64(5588455)]"
580990,Norberto Bercique Gomes Betuncal,1623,Striker,SS,49.0,"[np.int64(5588110), np.int64(5588403)]"
