player_id,team_id,position,total_minutes_played,total_matches_played,match_ids
8580,1619,Goalkeeper,450,5,"5588084,5588097,5588199,5588238,5588307"
8582,1633,Central Defender,807,12,"5588169,5588258,5588299,5588300,5588313,5588330,5588344,5588358,5588374,5588429,5588434,5588449"
8582,1633,Full Back,69,6,"5588093,5588129,5588149,5588229,5588286,5588452"
8653,1611,Central Defender,1795,26,"5588080,5588092,5588106,5588117,5588141,5588205,5588210,5588227,5588235,5588247,5588259,5588267,5588275,5588289,5588296,5588304,5588316,5588328,5588333,5588349,5588387,5588411,5588422,5588434,5588444,5588454"
8653,1611,Striker,8,1,5588373
8677,1633,Midfielder,37,1,5588216
8677,1633,Striker,824,13,"5588086,5588093,5588109,5588114,5588129,5588132,5588149,5588158,5588169,5588176,5588188,5588198,5588208"
8944,1669,,9,1,5588362
8944,1669,Central Defender,196,5,"5588171,5588221,5588241,5588252,5588303"
8944,1669,Full Back,5,1,5588087
8945,1613,Central Defender,125,2,"5588326,5588368"
8945,1613,Full Back,1247,23,"5588091,5588119,5588123,5588137,5588146,5588198,5588221,5588236,5588245,5588256,5588267,5588288,5588297,5588317,5588348,5588358,5588377,5588386,5588396,5588400,5588416,5588423,5588455"
8955,1633,Midfielder,50,4,"5588086,5588114,5588276,5588358"
8955,1633,Striker,276,9,"5588132,5588169,5588188,5588198,5588208,5588216,5588229,5588286,5588299"
8955,1633,Winger,46,2,"5588300,5588313"
8981,1628,Midfielder,2180,33,"5588087,5588102,5588113,5588122,5588134,5588145,5588156,5588165,5588179,5588191,5588203,5588215,5588222,5588232,5588242,5588251,5588262,5588284,5588299,5588303,5588316,5588322,5588334,5588346,5588368,5588382,5588395,5588402,5588410,5588425,5588438,5588445,5588453"
9022,1634,Goalkeeper,630,7,"5588081,5588265,5588274,5588283,5588294,5588305,5588452"
9097,1651,Central Defender,2102,25,"5588083,5588092,5588100,5588112,5588121,5588133,5588143,5588155,5588201,5588214,5588226,5588232,5588249,5588252,5588260,5588283,5588296,5588302,5588318,5588372,5588382,5588392,5588401,5588412,5588423"
9164,1619,Central Defender,139,2,"5588277,5588457"
9164,1619,Full Back,253,6,"5588097,5588127,5588131,5588140,5588157,5588219"
9206,1642,Striker,2970,36,"5588085,5588097,5588108,5588115,5588121,5588138,5588144,5588156,5588167,5588176,5588186,5588190,5588206,5588217,5588227,5588237,5588241,5588257,5588263,5588279,5588285,5588298,5588301,5588318,5588323,5588338,5588342,5588356,5588365,5588397,5588408,5588417,5588425,5588436,5588449,5588456"
9380,1625,,2,1,5588168
9380,1625,Central Defender,525,9,"5588116,5588126,5588148,5588159,5588197,5588240,5588306,5588310,5588326"
9380,1625,Midfielder,45,1,5588096
9433,1623,Central Defender,2922,33,"5588083,5588098,5588103,5588110,5588124,5588134,5588146,5588152,5588166,5588177,5588188,5588193,5588205,5588213,5588223,5588230,5588243,5588255,5588263,5588271,5588282,5588293,5588302,5588314,5588322,5588333,5588340,5588359,5588363,5588379,5588383,5588397,5588403"
9624,1616,Midfielder,810,25,"5588080,5588094,5588104,5588114,5588148,5588151,5588171,5588183,5588194,5588207,5588244,5588253,5588264,5588274,5588286,5588295,5588304,5588334,5588364,5588391,5588404,5588418,5588431,5588442,5588451"
9683,1634,Full Back,343,5,"5588305,5588320,5588371,5588385,5588393"
9683,1634,Midfielder,9,1,5588162
9956,1629,Goalkeeper,180,2,"5588407,5588445"
10131,1623,Goalkeeper,3420,38,"5588083,5588098,5588103,5588110,5588124,5588134,5588146,5588152,5588166,5588177,5588188,5588193,5588205,5588213,5588223,5588230,5588243,5588255,5588263,5588271,5588282,5588293,5588302,5588314,5588322,5588333,5588340,5588359,5588363,5588379,5588383,5588397,5588403,5588413,5588426,5588431,5588446,5588455"
10153,1629,Goalkeeper,630,7,"5588108,5588119,5588120,5588139,5588142,5588229,5588239"
11051,1625,Full Back,95,2,"5588096,5588109"
11051,1625,Midfielder,225,5,"5588204,5588217,5588376,5588387,5588395"
11051,1625,Winger,460,13,"5588116,5588126,5588137,5588148,5588159,5588197,5588222,5588235,5588240,5588276,5588294,5588343,5588448"
11066,1609,Midfielder,14,1,5588118
11066,1609,Striker,3,1,5588310
11066,1609,Winger,533,15,"5588130,5588140,5588150,5588190,5588208,5588280,5588290,5588324,5588330,5588342,5588383,5588405,5588410,5588420,5588457"
11270,1634,Midfielder,2770,33,"5588081,5588096,5588104,5588112,5588127,5588135,5588149,5588152,5588172,5588187,5588195,5588206,5588215,5588225,5588239,5588245,5588265,5588274,5588283,5588294,5588305,5588315,5588335,5588349,5588371,5588385,5588393,5588405,5588416,5588426,5588432,5588447,5588452"
11669,1613,,20,1,5588396
11669,1613,Striker,399,16,"5588198,5588203,5588218,5588221,5588326,5588338,5588348,5588358,5588368,5588377,5588386,5588400,5588416,5588423,5588435,5588440"
11669,1613,Winger,28,1,5588455
12242,1613,Goalkeeper,2520,28,"5588084,5588091,5588107,5588119,5588123,5588137,5588146,5588155,5588164,5588175,5588186,5588198,5588203,5588218,5588221,5588338,5588348,5588358,5588368,5588377,5588386,5588396,5588400,5588416,5588423,5588435,5588440,5588455"
12379,1634,Central Defender,64,1,5588294
12379,1634,Full Back,100,2,"5588335,5588416"
12829,1631,Striker,2827,35,"5588089,5588094,5588105,5588113,5588124,5588130,5588147,5588157,5588167,5588172,5588196,5588200,5588216,5588226,5588236,5588246,5588266,5588270,5588284,5588295,5588308,5588314,5588324,5588336,5588344,5588352,5588366,5588376,5588386,5588392,5588406,5588419,5588427,5588436,5588447"
14705,1633,Midfielder,42,1,5588231
14705,1633,Striker,799,16,"5588086,5588093,5588109,5588249,5588258,5588269,5588276,5588374,5588389,5588394,5588409,5588412,5588429,5588434,5588449,5588452"
14705,1633,Winger,20,1,5588216
14768,1616,Goalkeeper,3420,38,"5588080,5588094,5588104,5588114,5588123,5588138,5588148,5588151,5588166,5588171,5588183,5588194,5588207,5588214,5588224,5588234,5588244,5588253,5588264,5588274,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588351,5588364,5588370,5588384,5588391,5588404,5588418,5588421,5588431,5588442,5588451"
