player_id,player_name,team_id,total_minutes_played
828739,Asher Agbinone,1648,20.0
827867,Will Lankshear,1627,7.0
825591,Jake Evans,25891,37.0
825004,Ben Broggio,2422,0.0
825003,Mikey Moore,2344,391.0
824994,Joshua David Steven King,1616,176.0
824993,Jack Fletcher,2330,0.0
824989,Jayce Fitzgerald,2330,0.0
824988,Harry Amass Fiorentino,1611,299.0
824351,Julio César Soler Barreto,1659,24.0
823250,Zach Marsh,22983,0.0
822917,Joshua Kofi Acheampong,1610,180.0
819634,Ethan Joseph Wheatley,1652,0.0
819279,Oyindamola Ajayi,22980,0.0
819250,Callum Bates,22969,0.0
818118,Martial Godo,22984,38.0
817247,Matai Akinmboni,1659,0.0
817084,Joe Knight,26672,0.0
816545,Claudio Jeremías Echeverri,1625,12.0
816274,Joachim Kayi Sanda,1619,25.0
810336,Justin Devenny,22983,590.0
809491,Facundo Valentín Buonanotte,1631,1607.0
809003,Callan McKenna,26679,0.0
808999,Will Alves,10529,6.0
808995,Jacob Wright,1626,0.0
807765,Ryan Trevitt,1703,8.0
807014,Diego Alexander Gómez Amarilla,1651,594.0
803390,Luis Guilherme Lira dos Santos,1633,213.0
798323,Roman Dixon,22969,90.0
790418,Bastien Meupiyou Menadjou,1629,0.0
790219,Jayden Meghoma,1641,11.0
790216,Jamaldeen Jimoh,2422,0.0
789710,Jack Moorhouse,22975,0.0
786845,Jacob Slater,26672,0.0
786541,Mathis Amougou,1610,11.0
783784,Mark O'Mahony,1622,0.0
783782,Franco Umeh-Chibueze,22983,0.0
783644,Jahmai Simpson-Pusey,22986,103.0
781890,Kosta  Nedeljković,2975,154.0
779565,Lucas Bergvall,1624,1291.0
777938,Dean Huijsen,1659,2464.0
776857,Tyrique George,1610,213.0
776849,Samuel Amo-Ameyaw,3779,39.0
776736,Dominic Sadi,26679,0.0
776649,Jayden Danns,1632,14.0
775200,Tommy Setford,22966,0.0
771887,Michael Golding,1631,2.0
770402,Marc Guiu Paz,1610,86.0
770018,Zach Abbott,26663,0.0
769918,Andrés García Robledo,1614,334.0
769441,Leny Yoro,1611,1219.0
767341,Charlie Tasker,26672,0.0
767330,Lewis Miley,1613,366.0
767319,Somto Boniface,27773,0.0
767099,Martin Sherif,22969,0.0
767091,Ishé Samuels-Smith,22982,0.0
767087,Archie Gray,1624,1805.0
767039,Oliver Scarles,22973,715.0
764067,Eric Emanuel da Silva Moreira,1642,38.0
763116,Ruairi McConville,1626,0.0
762994,Tyler Fredricson,22975,167.0
753613,Leo Shahar,22976,0.0
753608,Brayden Cian Clarke,2285,0.0
753577,Trey Nyoni,2328,0.0
750677,Alex Murphy,1615,0.0
747910,William Idamudia Daugaard Osula,1613,202.0
745929,Ethan Nwaneri,1609,978.0
745928,Jimi Gower,22966,0.0
745926,Myles Lewis-Skelly,1609,1467.0
745275,Coby Ebere,22969,0.0
744146,Kadan Young,5088,0.0
743352,Alfie Dorrington,8518,16.0
739094,Daniel Jebbison,1659,200.0
735759,Nico O'Reilly,22986,539.0
733093,Kaden Rodney,22983,0.0
733091,Thomas Wilson-Brown,8516,0.0
732998,Jack Hinshelwood,1651,1868.0
732238,Alex Scott,1659,819.0
731238,Tyler Dibling,1619,1864.0
731232,Henry Cartwright,25891,0.0
730424,Nasser Yacouba Djiga,1629,81.0
729649,Issahaku Abdul Fatawu,1631,602.0
724763,Zain Silcott-Duberry,1659,6.0
722859,Jenson Metcalfe,1670,0.0
719786,Carlos Noom Quomah Baleba,1651,2700.0
715986,Isaac Heath,22969,0.0
707333,Victor Bernth Kristiansen,1631,2498.0
700494,Sammy Braybrooke,25891,0.0
700018,Michael Olabode Kayode,1669,553.0
698931,Lewis Orford,22973,59.0
698930,Kaelan Casey,22973,4.0
698840,Dango Aboubacar Faissal Ouattara,1659,2080.0
