matchId,passEventId,passTeamId,passPlayerId,passTimeSeconds,startX,startY,endX,endY,becameShot,shotEventId,shotOutcome,shotPlayerId,shotPlayerName,shotStartX,shotStartY,isGoal,shot_dist_to_goal,shot_goal_angle,goalProbability
5588084,2263986091,1619,549884,1304,67,63,77,71,True,2263986092,No Goal,286829,A. Armstrong,77.0,71.0,0.0,31.144823004794873,0.6413002319947291,0.020877301813553406
5588084,2263986232,1613,478618,1437,77,27,89,29,True,2263986238,No Goal,50102,F. Schär,87.0,29.0,0.0,24.698178070456937,0.6539398944781767,0.04942733196433949
5588084,2263986437,1619,499655,2412,93,96,97,44,True,2263986439,No Goal,488711,B. Brereton Díaz,95.0,44.0,0.0,7.810249675906654,2.2640194526358832,0.30286441643970075
5588084,2263986522,1613,399599,2655,91,76,88,45,True,2263986523,Goal,298980,Joelinton,88.0,45.0,1.0,13.0,1.5707963267948966,0.15849357455719465
5588084,2263986578,1613,621113,2929,100,100,89,30,True,2263986583,No Goal,298980,Joelinton,89.0,30.0,0.0,22.825424421026653,0.6823165548747481,0.05586489399644018
5588084,2263986723,1619,337003,2966,95,26,90,44,True,2263986732,No Goal,488711,B. Brereton Díaz,93.0,38.0,0.0,13.892443989449804,1.43968467831235,0.17049542359773642
5588084,2263986760,1619,488711,3059,74,78,77,64,True,2263986762,No Goal,286829,A. Armstrong,85.0,66.0,0.0,21.93171219946131,0.896055384571344,0.0637714429750387
5588084,2263987022,1619,286829,3700,79,42,82,43,True,2263987029,No Goal,286829,A. Armstrong,86.0,46.0,0.0,14.560219778561036,1.4532094184136621,0.13300928649094124
5588084,2263987057,1619,286829,3733,90,51,86,54,True,2263987061,No Goal,337003,J. Aribo,83.0,65.0,0.0,22.67156809750927,0.9080325277010407,0.0581672267073102
5588084,2263987174,1619,504613,4115,71,26,71,54,True,2263987175,No Goal,402884,K. Walker-Peters,71.0,54.0,0.0,29.274562336608895,0.831136007137055,0.009636161411588379
5588084,2263987294,1619,240032,4626,68,40,74,73,True,2263987298,No Goal,402884,K. Walker-Peters,86.0,69.0,0.0,23.600847442411894,0.7534940989124259,0.05270293823948807
5588084,2263987300,1619,504613,4633,80,50,86,35,True,2263987301,No Goal,286829,A. Armstrong,86.0,35.0,0.0,20.518284528683193,0.9652516631899265,0.07682842596050903
5588084,2263987410,1619,776849,5190,85,82,91,42,True,2263987412,No Goal,646204,C. Alcaraz,90.0,42.0,0.0,12.806248474865697,1.5900247258946039,0.17364030015910475
5588084,2263987451,1619,447536,5369,78,85,91,52,True,2263987454,No Goal,527201,C. Archer,82.0,46.0,0.0,18.439088914585774,1.2204821145594944,0.08724303304111929
5588084,2263987512,1619,619727,5766,84,22,91,46,True,2263987513,No Goal,527201,C. Archer,91.0,46.0,0.0,9.848857801796104,1.8692952583810758,0.2149184138755703
