matchId,passEventId,passTeamId,passPlayerId,startX,startY,shotX,shotY,shotIsGoal,shot_probability,model_xG,pass_goal_probability
5588100,2285323196,1609,520291,94,65,92.0,71.0,False,0.5434537221367994,0.07468,0.5775485981676232
5588100,2285323257,1609,217031,37,70,90.0,56.0,False,0.029563313911686432,0.1759,0.2002631269946208
5588100,2285323258,1609,520291,55,96,90.0,56.0,False,0.03311578537854876,0.1759,0.20319071873046202
5588100,2285323260,1609,446423,44,87,90.0,56.0,False,0.037515337575986095,0.1759,0.20681638969637006
5588100,2285323262,1609,134717,81,6,90.0,56.0,False,0.22151477769623418,0.1759,0.35845032829946655
5588100,2285323312,1651,599817,70,38,95.0,63.0,False,0.12900439930521523,0.1437,0.25416646712505575
5588100,2285323313,1651,534324,77,19,95.0,63.0,False,0.11514100972868815,0.1437,0.2422952466306756
5588100,2285323316,1651,599817,80,16,95.0,63.0,False,0.2401313434434216,0.1437,0.3493244693906018
5588100,2285323503,1651,0,92,0,78.0,42.0,False,0.08838820913849968,0.001758,0.08999082266683422
5588100,2285323506,1651,9097,69,24,78.0,42.0,False,0.1707463582891442,0.001758,0.17220418619127187
5588100,2285323546,1609,578325,28,54,78.0,42.0,True,0.025830447854098524,0.06559,0.08972622877934822
5588100,2285323548,1609,491458,32,29,78.0,42.0,True,0.05311210366402749,0.06559,0.11521848078470398
5588100,2285323550,1609,520291,64,52,78.0,42.0,True,0.17789024673206155,0.06559,0.23181242544890568
5588100,2285323552,1651,856213,92,70,93.0,32.0,False,0.40663173410434034,0.03705,0.4286160283557746
5588100,2285323626,1609,520291,86,70,98.0,58.0,False,0.32010706296236346,0.1184,0.4006063867076197
5588100,2285323627,1609,134717,82,51,98.0,58.0,False,0.35285906795497696,0.1184,0.4294805543091078
5588100,2285323628,1609,297621,37,64,98.0,58.0,False,0.029716193934920535,0.1184,0.14459779657302596
5588100,2285323630,1609,578325,44,86,98.0,58.0,False,0.029929064733935893,0.1184,0.14478546346943788
5588100,2285323632,1609,446423,54,96,98.0,58.0,False,0.04360388854986318,0.1184,0.15684118814555947
5588100,2285323636,1609,520291,58,96,87.0,28.0,False,0.03264670253674864,0.05648,0.08728281677747307
5588100,2285323638,1609,578325,35,79,87.0,28.0,False,0.028588129475767794,0.05648,0.08345347192297647
5588100,2285323639,1609,415917,35,28,87.0,28.0,False,0.08826948138278912,0.05648,0.1397640210742892
5588100,2285323684,1609,134717,99,6,92.0,28.0,False,0.0883616975164669,0.01992,0.10652153250193896
5588100,2285323685,1609,415917,74,13,92.0,28.0,False,0.07391261345829225,0.01992,0.09236027419820314
5588100,2285323686,1609,379209,82,4,92.0,28.0,False,0.07206915012194226,0.01992,0.09055353265151322
5588100,2285323689,1609,134717,88,2,92.0,28.0,False,0.2951890580591422,0.01992,0.30922889202260406
5588100,2285323693,1609,491458,98,30,92.0,28.0,False,0.4005800030198817,0.01992,0.41252044935972576
5588100,2285323699,1609,379209,100,0,98.0,58.0,False,0.15175121877127679,0.1184,0.2521838744687577
5588100,2285323881,1651,590781,57,64,86.0,64.0,False,0.07364988721855568,0.07148,0.13986539328017333
5588100,2285323886,1651,534324,97,24,86.0,64.0,False,0.3542594003759407,0.07148,0.4004169384370685
5588100,2285323895,1651,9097,70,20,87.0,38.0,False,0.08900821535719645,0.1118,0.19085709688026198
5588100,2285323897,1651,732998,76,13,87.0,38.0,False,0.10449881085762652,0.1118,0.20461584380374398
5588100,2285323899,1651,9097,73,24,87.0,38.0,False,0.16163362120177588,0.1118,0.2553629823514174
5588100,2285323900,1651,599817,89,19,87.0,38.0,False,0.2999064714806122,0.1118,0.37817692796907976
5588100,2285323902,1651,732998,91,44,87.0,38.0,False,0.4938990802599682,0.1118,0.5504811630869038
5588100,2285323903,1651,534324,90,39,87.0,38.0,False,0.40936709147762235,0.1118,0.4753998506504242
5588100,2285323966,1651,677949,28,73,90.0,45.0,False,0.019688924153204793,0.3699,0.3823059911089344
5588100,2285323968,1651,9097,34,24,90.0,48.0,True,0.025647776607327227,0.5567,0.5680696593700281
5588100,2285323969,1651,732998,40,12,90.0,48.0,True,0.0336614192032579,0.5567,0.5716221071328043
5588100,2285323972,1651,9097,43,29,90.0,48.0,True,0.13426385903088117,0.5567,0.6162191687083896
5588100,2285324013,1651,622482,10,49,84.0,49.0,False,0.016559394180369294,0.005233,0.021705738870623548
5588100,2285324015,1651,732998,79,19,93.0,38.0,False,0.10431143460967128,0.1555,0.24359100652786736
5588100,2285324017,1651,534324,90,25,93.0,38.0,False,0.3161486314223904,0.1555,0.42248751923620875
5588100,2285324020,1651,677949,81,50,93.0,38.0,False,0.3638674011610091,0.1555,0.4627860202804721
5588100,2285324046,1609,415917,20,44,87.0,45.0,False,0.04456444935642608,0.3814,0.4089675683718852
5588100,2285324099,1609,555939,25,57,92.0,44.0,False,0.021197372639596024,0.4519,0.4635182799437625
5588100,2285324100,1609,217031,26,72,92.0,44.0,False,0.031093240157576064,0.4519,0.4689422049303674
5588100,2285324189,1651,732998,79,87,93.0,52.0,False,0.30468230855497624,0.2071,0.44868260245324065
5588100,2285324225,1651,599817,69,28,79.0,49.0,False,0.11433997450299649,0.01433,0.1270314826683685
5588100,2285324227,1651,590781,73,58,79.0,49.0,False,0.16578686691597289,0.01433,0.17774114111306694
5588100,2285324230,1651,579610,79,74,79.0,49.0,False,0.29463187211478853,0.01433,0.30473979738738355
