player_id,minutes_played,position_provider,position,jersey_number,team_id,match_id,yellow_card,bookings,red_card,goals,assists,sub_in,sub_out,minutes,own_goals,starting,competition,season
112392,15,CF,Striker,7,1616,5588080,False,0,False,0,0,79,0,11,0,False,364,2024
275780,3,LCMF,Midfielder,6,1616,5588080,False,0,False,0,0,91,0,-1,0,False,364,2024
622234,3,SS,Striker,28,1616,5588080,False,0,False,0,0,91,0,-1,0,False,364,2024
241564,69,LB,Full Back,17,1609,5588082,False,0,False,0,0,0,69,69,0,True,364,2024
520291,80,RWF,Winger,7,1609,5588082,True,1,False,1,1,0,80,80,0,True,364,2024
379209,85,LCMF3,Midfielder,41,1609,5588082,False,0,False,0,0,0,85,85,0,True,364,2024
446423,90,RB,Full Back,4,1609,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
297621,90,GK,Goalkeeper,22,1609,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
415917,90,LCB,Central Defender,6,1609,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
555939,90,LWF,Winger,11,1609,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
425925,90,CF,Striker,29,1609,5588082,False,0,False,1,1,0,0,90,0,True,364,2024
302292,90,RCMF3,Midfielder,8,1609,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
217031,90,DMF,Midfielder,5,1609,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
578325,90,RCB,Central Defender,2,1609,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
491458,26,LB,Full Back,12,1609,5588082,False,0,False,0,0,69,0,21,0,False,364,2024
134717,15,LWF,Winger,19,1609,5588082,False,0,False,0,0,80,0,10,0,False,364,2024
340386,10,CF,Striker,9,1609,5588082,True,1,False,0,0,85,0,5,0,False,364,2024
396912,57,AMF,Midfielder,27,1629,5588082,False,0,False,0,0,0,57,57,0,True,364,2024
594968,75,LAMF,Winger,19,1629,5588082,False,0,False,0,0,0,75,75,0,True,364,2024
474104,84,CF,Striker,9,1629,5588082,False,0,False,0,0,0,84,84,0,True,364,2024
598178,84,RDMF,Midfielder,8,1629,5588082,True,1,False,0,0,0,84,84,0,True,364,2024
565016,84,LB,Full Back,3,1629,5588082,False,0,False,0,0,0,84,84,0,True,364,2024
349687,90,RAMF,Winger,11,1629,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
227085,90,GK,Goalkeeper,1,1629,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
62126,90,RB,Full Back,2,1629,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
29640,90,LDMF,Midfielder,5,1629,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
590874,90,LCB,Central Defender,24,1629,5588082,True,1,False,0,0,0,0,90,0,True,364,2024
645877,90,RCB,Central Defender,14,1629,5588082,False,0,False,0,0,0,0,90,0,True,364,2024
512982,38,AMF,Midfielder,12,1629,5588082,False,0,False,0,0,57,0,33,0,False,364,2024
248276,20,RAMF,Winger,10,1629,5588082,False,0,False,0,0,75,0,15,0,False,364,2024
8360,11,LCB,Central Defender,15,1629,5588082,False,0,False,0,0,84,0,6,0,False,364,2024
622113,11,LAMF,Winger,23,1629,5588082,False,0,False,0,0,84,0,6,0,False,364,2024
4015,11,RDMF,Midfielder,21,1629,5588082,False,0,False,0,0,84,0,6,0,False,364,2024
28292,62,CF,Striker,16,1623,5588083,False,0,False,0,0,0,62,62,0,True,364,2024
7939,66,RB,Full Back,18,1623,5588083,False,1,True,0,0,0,0,90,0,True,364,2024
