player_id,team_id,total_minutes_played,match_ids
8277,1625,995,"[np.int64(5588109), np.int64(5588116), np.int64(5588126), np.int64(5588137), np.int64(5588148), np.int64(5588170), np.int64(5588181), np.int64(5588197), np.int64(5588204), np.int64(5588217), np.int64(5588222), np.int64(5588235), np.int64(5588240), np.int64(5588266), np.int64(5588276)]"
8286,1634,240,"[np.int64(5588081), np.int64(5588096), np.int64(5588112), np.int64(5588135), np.int64(5588187), np.int64(5588294), np.int64(5588320), np.int64(5588405), np.int64(5588416), np.int64(5588447), np.int64(5588452)]"
8319,1651,172,"[np.int64(5588083), np.int64(5588092), np.int64(5588100), np.int64(5588458)]"
8360,1629,997,"[np.int64(5588082), np.int64(5588099), np.int64(5588108), np.int64(5588119), np.int64(5588120), np.int64(5588142), np.int64(5588159), np.int64(5588163), np.int64(5588179), np.int64(5588189), np.int64(5588209), np.int64(5588213), np.int64(5588246), np.int64(5588259), np.int64(5588268)]"
8392,1628,533,"[np.int64(5588102), np.int64(5588113), np.int64(5588145), np.int64(5588179), np.int64(5588183), np.int64(5588191), np.int64(5588232), np.int64(5588242), np.int64(5588284), np.int64(5588299), np.int64(5588316), np.int64(5588378), np.int64(5588395)]"
8460,1659,1627,"[np.int64(5588085), np.int64(5588091), np.int64(5588103), np.int64(5588111), np.int64(5588125), np.int64(5588131), np.int64(5588147), np.int64(5588150), np.int64(5588161), np.int64(5588170), np.int64(5588180), np.int64(5588192), np.int64(5588209), np.int64(5588212), np.int64(5588225), np.int64(5588231), np.int64(5588247), np.int64(5588371), np.int64(5588389), np.int64(5588391), np.int64(5588402), np.int64(5588411), np.int64(5588430), np.int64(5588448), np.int64(5588450)]"
8501,1628,164,"[np.int64(5588093), np.int64(5588102), np.int64(5588113), np.int64(5588122), np.int64(5588134), np.int64(5588156), np.int64(5588179), np.int64(5588183), np.int64(5588191), np.int64(5588203), np.int64(5588242), np.int64(5588299)]"
8580,1619,450,"[np.int64(5588084), np.int64(5588097), np.int64(5588199), np.int64(5588238), np.int64(5588307)]"
8582,1633,876,"[np.int64(5588093), np.int64(5588129), np.int64(5588149), np.int64(5588169), np.int64(5588229), np.int64(5588258), np.int64(5588286), np.int64(5588299), np.int64(5588300), np.int64(5588313), np.int64(5588330), np.int64(5588344), np.int64(5588358), np.int64(5588374), np.int64(5588429), np.int64(5588434), np.int64(5588449), np.int64(5588452)]"
8653,1611,1803,"[np.int64(5588080), np.int64(5588092), np.int64(5588106), np.int64(5588117), np.int64(5588141), np.int64(5588205), np.int64(5588210), np.int64(5588227), np.int64(5588235), np.int64(5588247), np.int64(5588259), np.int64(5588267), np.int64(5588275), np.int64(5588289), np.int64(5588296), np.int64(5588304), np.int64(5588316), np.int64(5588328), np.int64(5588333), np.int64(5588349), np.int64(5588373), np.int64(5588387), np.int64(5588411), np.int64(5588422), np.int64(5588434), np.int64(5588444), np.int64(5588454)]"
8677,1633,861,"[np.int64(5588086), np.int64(5588093), np.int64(5588109), np.int64(5588114), np.int64(5588129), np.int64(5588132), np.int64(5588149), np.int64(5588158), np.int64(5588169), np.int64(5588176), np.int64(5588188), np.int64(5588198), np.int64(5588208), np.int64(5588216)]"
8944,1669,210,"[np.int64(5588087), np.int64(5588171), np.int64(5588221), np.int64(5588241), np.int64(5588252), np.int64(5588303), np.int64(5588362)]"
8945,1613,1372,"[np.int64(5588091), np.int64(5588119), np.int64(5588123), np.int64(5588137), np.int64(5588146), np.int64(5588198), np.int64(5588221), np.int64(5588236), np.int64(5588245), np.int64(5588256), np.int64(5588267), np.int64(5588288), np.int64(5588297), np.int64(5588317), np.int64(5588326), np.int64(5588348), np.int64(5588358), np.int64(5588368), np.int64(5588377), np.int64(5588386), np.int64(5588396), np.int64(5588400), np.int64(5588416), np.int64(5588423), np.int64(5588455)]"
